# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	1248
#@/user_id	662924db-9313-4d87-817a-45375dfe3f1f
di 	地	c=0 d=0.1 t=417
di san duan 	地三段	c=1 d=1 t=418
di yi 	第一	c=1 d=1 t=584
dian 	電	c=1 d=0.436049 t=1248
dian 	點	c=4 d=0.551563 t=1248
dian nao 	電腦	c=1 d=1 t=1234
diao 	吊	c=1 d=1 t=566
diao 	掉	c=1 d=1 t=1016
diao le 	掉了	c=1 d=1 t=962
dong de 	懂得	c=1 d=0.166127 t=1248
dong xi 	東西	c=3 d=1.49654 t=1224
dou 	都	c=4 d=0.45301 t=1248
dou shi 	都是	c=3 d=1.75446 t=884
dou shi 	鬥士	c=0 d=0.1 t=785
dou yin 	抖音	c=1 d=1 t=896
dou zai 	都在	c=1 d=1 t=1217
dui 	對	c=2 d=0.702107 t=1248
duo 	多	c=1 d=1 t=659
duo bang 	多幫	c=1 d=1 t=688
duo duo 	多多	c=1 d=0.463013 t=1248
duo le 	多了	c=1 d=1.02579 t=1175
e 	呃	c=1 d=1 t=578
e si 	餓死	c=0 d=0.1 t=681
e si de 	餓死的	c=1 d=1 t=682
en 	恩	c=2 d=0.995012 t=1248
er 	二	c=1 d=1 t=419
er 	而	c=2 d=1.75201 t=1039
er ni 	而你	c=1 d=1 t=1158
er qie 	而且	c=3 d=2.27313 t=1194
fa lv 	法律	c=2 d=0.655864 t=1248
fa yan 	發言	c=1 d=1 t=794
fan 	番	c=1 d=1 t=1131
fan qiang 	翻牆	c=1 d=1 t=1180
fang 	放	c=1 d=1 t=680
fang an 	方案	c=2 d=1.8883 t=1248
fang fu 	彷彿	c=0 d=0.026982 t=1248
fang qi 	放棄	c=1 d=1 t=1087
fang qi 	放氣	c=2 d=1.99501 t=1070
fei yao 	非要	c=1 d=1 t=899
fen xiang 	分享	c=0 d=0.0516851 t=1248
fen xiang xia 	分享下	c=1 d=0.519442 t=1248
feng fu 	豐富	c=0 d=0.026982 t=1248
feng le 	封了	c=1 d=0.755784 t=1248
fu po 	富婆	c=1 d=1 t=729
fu wu 	服務	c=3 d=0.468799 t=1248
fu xi 	複習	c=3 d=2.37052 t=1248
fu ze 	負責	c=0 d=0.1 t=508
gan 	幹	c=1 d=0.50409 t=1248
gan 	螒	c=1 d=1 t=864
gan jue 	感覺	c=5 d=2.96087 t=831
gang ao tai 	港澳臺	c=1 d=1 t=1136
gang ba 	崗巴	c=0 d=0.1 t=491
gang ba dei 	崗巴得	c=1 d=1 t=492
gao 	搞	c=0 d=0.0187308 t=1248
gao ji zhu shou 	搞機助手	c=1 d=0.188247 t=1248
gao su 	告訴	c=0 d=0.1 t=940
gao su wo men 	告訴我們	c=1 d=1 t=941
ge 	個	c=1 d=1 t=434
ge 	哥	c=1 d=1 t=1096
ge ge 	哥哥	c=2 d=1.04076 t=1105
ge qu 	各區	c=1 d=0.831104 t=1248
ge sha 	個啥	c=1 d=1 t=530
gei wo 	給我	c=1 d=0.794534 t=1248
geng hao 	更好	c=2 d=0.309195 t=1248
gong gong 	公共	c=1 d=1 t=804
gou wu 	購物	c=1 d=1 t=1123
gu ge 	谷歌	c=3 d=0.728206 t=1248
gu gong 	故宮	c=1 d=1 t=705
guan kan 	觀看	c=1 d=0.341298 t=1248
guan li 	管理	c=1 d=1 t=931
guan li qi 	管理器	c=2 d=0.422031 t=1248
guan xi 	關係	c=1 d=0.394554 t=1248
gui 	貴	c=0 d=0.1 t=1143
guo de 	過的	c=1 d=1 t=491
guo ji 	國際	c=1 d=0.402524 t=1248
guo ji 	過激	c=0 d=0.1 t=846
guo ji le 	過激了	c=1 d=1 t=847
guo lai 	過來	c=1 d=1 t=624
ha 	哈	c=5 d=1.62592 t=1097
ha ha ha 	哈哈哈	c=3 d=2.84163 t=937
ha ha ha ha 	哈哈哈哈	c=2 d=1.97531 t=917
ha pi 	哈皮	c=3 d=1.06593 t=1246
hai 	海	c=2 d=1.25317 t=1248
hai 	還	c=2 d=1.91393 t=1163
hai bu 	還不	c=0 d=0.1 t=601
hai bu yi ding 	還不一定	c=1 d=1 t=602
hai mei 	還沒	c=1 d=1 t=587
hai neng 	還能	c=2 d=1.97531 t=1170
hai shi 	還是	c=1 d=0.75377 t=844
hai shi shuo 	還是說	c=1 d=1 t=845
hai xing 	還行	c=1 d=0.0444858 t=1248
hai yao 	還要	c=4 d=2.10524 t=1152
hai zai 	還在	c=2 d=0.565525 t=1248
han 	喊	c=1 d=1 t=1074
hao 	好	c=4 d=1.13243 t=1168
hao ba 	好吧	c=2 d=1.08848 t=1099
hao chu 	好處	c=1 d=0.404542 t=1248
hao de 	好的	c=1 d=1 t=404
hao hao 	好好	c=1 d=1 t=642
hao kan 	好看	c=0 d=0.1 t=686
hao kan de 	好看的	c=1 d=1 t=687
hao xiao 	好笑	c=0 d=0.1 t=918
hao ye 	好耶	c=3 d=0.677057 t=1248
he 	和	c=1 d=0.38868 t=1248
he ping 	和平	c=1 d=0.144424 t=1248
hei 	黑	c=0 d=0.0341298 t=1248
hei li shi 	黑歷史	c=1 d=0.343009 t=1248
hen 	很	c=2 d=0.802519 t=1248
hen bu 	很不	c=0 d=0.1 t=842
hen bu li mao 	很不禮貌	c=1 d=1 t=843
hen duo 	很多	c=1 d=1 t=1241
hen ming xian 	很明顯	c=2 d=1.70469 t=866
hen xi huan 	很喜歡	c=0 d=0.1 t=789
hen you 	很有	c=1 d=1 t=571
hou 	後	c=1 d=1 t=1013
hou mian 	後面	c=1 d=0.56836 t=1248
hou qi 	後期	c=1 d=1 t=396
hou tai 	後臺	c=2 d=0.502683 t=1248
