# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	15434
#@/user_id	1085ee9c-96fc-4189-a383-8ffdddf6a4c9
bang ni 	幫你	c=2 d=0.00195457 t=15434
bang ni zuo 	幫你做	c=1 d=0.0196437 t=15434
bang ta 	幫她	c=1 d=0.0206508 t=15434
bang wo 	幫我	c=2 d=0.0032313 t=15434
bang zhu 	幫助	c=3 d=1.0802 t=14112
bang zhu ta 	幫助他	c=1 d=1 t=14113
bang zi 	棒子	c=1 d=5.05739e-10 t=15434
bao 	包	c=10 d=0.286505 t=15434
bao 	報	c=0 d=0.1 t=4333
bao 	寶	c=1 d=1.85281e-20 t=15434
bao 	爆	c=1 d=1.94079e-07 t=15434
bao bei 	寶貝	c=2 d=1.92312 t=11000
bao cuo 	報錯	c=1 d=6.93702e-22 t=15434
bao ding 	保定	c=9 d=1.31922 t=10398
bao gao 	報告	c=1 d=1 t=2568
bao hu 	保護	c=3 d=4.8091e-06 t=15434
bao kao 	報考	c=1 d=1 t=526
bao kuo 	包括	c=2 d=0.0483156 t=15434
bao lei 	堡壘	c=1 d=1 t=616
bao liu 	保留	c=1 d=0.0137736 t=15434
bao ming 	報名	c=1 d=1.22001e-21 t=15434
bao ming hao 	報名號	c=1 d=9.94303e-22 t=15434
bao nu 	暴怒	c=1 d=7.22012e-22 t=15434
bao qian 	抱歉	c=5 d=0.826959 t=15434
bao qian le 	抱歉了	c=1 d=1.59034e-17 t=15434
bao shou 	保守	c=1 d=1 t=8991
bao tu 	暴徒	c=1 d=1 t=11219
bao ying 	報應	c=1 d=0.226502 t=15434
bao you 	抱有	c=1 d=1 t=13553
bao yuan 	抱怨	c=2 d=2.76171e-10 t=15434
bao zha 	爆炸	c=1 d=3.62834e-15 t=15434
bao zhe 	抱着	c=1 d=1.28289e-19 t=15434
bao zheng 	保證	c=3 d=3.24818e-07 t=15434
bei 	倍	c=1 d=1 t=14750
bei 	北	c=2 d=0.814647 t=15434
bei 	唄	c=2 d=0.00110822 t=15434
bei 	背	c=1 d=3.52902e-12 t=15434
bei 	被	c=32 d=0.956906 t=15434
bei fen 	備份	c=1 d=0.153355 t=15434
bei hou 	背後	c=1 d=1 t=5640
bei jing 	北京	c=9 d=1.64569 t=15434
bei jing mie 	北京滅	c=1 d=1 t=2550
bei jing shi 	北京市	c=1 d=1 t=42
bei kao 	備考	c=1 d=1 t=7143
bei le 	背了	c=1 d=4.08247e-20 t=15434
bei mian 	北面	c=1 d=1 t=2713
bei ni 	被你	c=1 d=1 t=11806
bei pan 	背叛	c=1 d=2.5205e-23 t=15434
bei pen 	被噴	c=1 d=1 t=9109
bei shang 	悲傷	c=5 d=1.47457e-10 t=15434
bei song 	背誦	c=1 d=1 t=10157
bei wang 	備忘	c=1 d=9.75974e-09 t=15434
bei wang lu 	備忘錄	c=4 d=3.803 t=7487
bei zi li 	被子裏	c=0 d=0.1 t=3892
ben 	本	c=6 d=0.374104 t=15434
ben jiu 	本就	c=1 d=0.00673795 t=15434
ben ke 	本科	c=2 d=1.97531 t=9070
ben lai 	本來	c=3 d=2.32318e-05 t=15434
ben lai jiu 	本來就	c=1 d=1 t=11995
ben lai xiang 	本來想	c=1 d=2.25174e-20 t=15434
ben pao 	奔跑	c=1 d=1 t=3972
ben shang 	本上	c=1 d=0.540641 t=15434
ben shen 	本神	c=2 d=1.56298e-11 t=15434
ben shen 	本身	c=2 d=0.25284 t=15434
ben ti 	本體	c=8 d=5.32275 t=1916
ben ti lun 	本體論	c=3 d=2.08071 t=1890
ben zhen 	本真	c=3 d=2.96042 t=1493
ben zhi 	本質	c=2 d=1 t=13203
ben zi 	本子	c=4 d=0.000280202 t=15434
beng 	崩	c=2 d=5.05653e-08 t=15434
beng bu 	蚌埠	c=1 d=1.00231 t=5554
beng bu zhu le 	蚌埠住了	c=1 d=1 t=4801
beng kui 	崩潰	c=1 d=0.159614 t=15434
beng le 	崩了	c=1 d=1.31743e-08 t=15434
beng ta 	崩塌	c=0 d=0.1 t=11487
beng ta le 	崩塌了	c=1 d=1 t=11488
bi 	幣	c=8 d=2.64994e-09 t=15434
bi 	必	c=0 d=6.31929e-14 t=15434
bi 	比	c=6 d=5.44948e-06 t=15434
bi 	筆	c=1 d=1 t=9341
bi 	逼	c=2 d=0.140528 t=15434
bi bu liao 	比不了	c=1 d=1 t=10644
bi dao 	逼到	c=2 d=7.44132e-12 t=15434
bi ding 	必定	c=1 d=1 t=6583
bi he 	閉合	c=0 d=0.1 t=7363
bi ji 	筆記	c=3 d=1.56754e-13 t=15434
bi ji ben 	筆記本	c=11 d=1 t=15271
bi jiao 	比較	c=6 d=8.55393e-08 t=15434
bi jing 	畢竟	c=20 d=0.576802 t=15434
bi li shi 	比利時	c=1 d=1 t=14553
bi ru 	比如	c=2 d=1 t=11447
bi sai 	比賽	c=1 d=1 t=440
bi shi 	鄙視	c=2 d=0.00782838 t=15434
bi te 	比特	c=1 d=4.23542e-10 t=15434
bi te bi 	比特幣	c=4 d=3.33741 t=11143
bi te bi 	比特比	c=6 d=1.89031e-09 t=15434
bi te bi 	比特逼	c=1 d=1 t=11060
bi wo 	比我	c=1 d=3.25881e-17 t=15434
bi wo xiao 	比我小	c=1 d=3.27514e-16 t=15434
bi xin 	筆芯	c=1 d=1 t=9351
bi xu 	必須	c=3 d=0.364219 t=15434
bi yan 	鼻炎	c=1 d=1.34913e-23 t=15434
bi yao 	必要	c=4 d=0.843665 t=15434
bi yao de 	必要的	c=1 d=3.6946e-22 t=15434
bi ye 	畢業	c=0 d=0.1 t=2564
bi ye de 	畢業的	c=2 d=1.90937 t=2584
bi zhang jia 	必漲價	c=1 d=6.35096e-13 t=15434
bi zhi 	壁紙	c=7 d=2.10873e-20 t=15434
bi zi 	鼻子	c=1 d=1 t=4074
bi zui 	閉嘴	c=2 d=4.13923e-06 t=15434
bian 	便	c=2 d=9.76306e-13 t=15434
bian 	變	c=3 d=0.29523 t=15434
bian 	邊	c=4 d=1.00005 t=8421
bian a 	變啊	c=1 d=2.43845e-16 t=15434
bian cha 	變差	c=2 d=3.81216e-15 t=15434
bian cheng 	編程	c=8 d=0.773521 t=15434
bian cheng 	變成	c=1 d=1 t=13401
bian cheng le 	變成了	c=1 d=1 t=13473
bian de 	變得	c=2 d=3.69083e-10 t=15434
bian ji 	編輯	c=5 d=6.77165e-11 t=15434
bian ji 	邊際	c=1 d=1 t=2846
bian ju 	編劇	c=1 d=5.61825e-12 t=15434
bian liang 	變量	c=5 d=1.1212 t=15434
bian nuan 	變暖	c=1 d=3.31606e-15 t=15434
bian xia 	邊下	c=1 d=1 t=6264
bian xie 	編寫	c=1 d=1 t=2247
bian yi 	編譯	c=4 d=1.27222e-05 t=15434
bian yi qi 	編譯器	c=1 d=1 t=14427
bian zheng 	辯證	c=2 d=1.91851 t=1980
biao 	標	c=1 d=4.19594e-19 t=15434
biao 	表	c=1 d=4.4554e-19 t=15434
biao bai 	表白	c=1 d=1 t=11711
biao bai qiang 	表白牆	c=1 d=1 t=7605
biao ben 	標本	c=1 d=0.0776922 t=15434
biao da 	表達	c=15 d=0.619365 t=15434
biao da shi 	表達式	c=2 d=1.2334 t=699
biao da wo de 	表達我的	c=1 d=1 t=10652
biao dian 	標點	c=2 d=1.9802 t=21
biao mian 	表面	c=2 d=1.97045 t=12649
biao mian de 	表面的	c=1 d=1 t=1906
biao qian 	標籤	c=1 d=1 t=2026
biao qing 	表情	c=5 d=1.0043 t=10218
biao shi 	表示	c=1 d=1 t=7167
biao ti 	標題	c=1 d=7.6442e-17 t=15434
biao ya 	標壓	c=1 d=1 t=1820
biao zhi 	標誌	c=1 d=1 t=8260
biao zhun 	標準	c=2 d=0.00377257 t=15434
bie 	別	c=8 d=0.000295028 t=15434
bie 	憋	c=1 d=1 t=11192
bie a 	別啊	c=1 d=1 t=8571
bie he 	別和	c=1 d=6.44914e-17 t=15434
